draw_date,first_prize,front3_1,front3_2,back3_1,back3_2,last2,digit1,digit2,digit3,digit4,digit5,digit6
2020-05-16,051095,430,285,191,364,22,0,5,1,0,9,5
2020-03-16,503446,726,258,661,404,77,5,0,3,4,4,6
2020-03-01,875938,294,328,597,780,98,8,7,5,9,3,8
2020-02-16,781403,952,515,030,918,94,7,8,1,4,0,3
2020-02-01,589227,259,552,927,375,06,5,8,9,2,2,7
2020-01-17,491774,132,004,595,379,68,4,9,1,7,7,4
2019-12-30,510541,116,382,250,140,81,5,1,0,5,4,1
2019-12-16,529924,138,043,555,665,97,5,2,9,9,2,4
2019-12-01,453522,617,261,457,013,81,4,5,3,5,2,2
2019-11-16,017223,164,640,085,194,32,0,1,7,2,2,3
2019-11-01,967375,323,806,021,206,79,9,6,7,3,7,5
2019-10-16,812564,255,625,598,132,15,8,1,2,5,6,4
2019-10-01,691197,920,392,606,797,59,6,9,1,1,9,7
2019-09-16,340388,947,733,925,939,85,3,4,0,3,8,8
2019-09-01,798787,210,847,439,274,20,7,9,8,7,8,7
2019-08-16,775476,149,912,563,580,89,7,7,5,4,7,6
2019-08-01,387006,983,135,795,562,58,3,8,7,0,0,6
2019-07-15,369765,901,355,556,113,88,3,6,9,7,6,5
2019-07-01,943647,864,239,375,006,86,9,4,3,6,4,7
2019-06-16,174055,884,625,800,127,29,1,7,4,0,5,5
2019-06-01,516461,589,713,560,215,46,5,1,6,4,6,1
2019-05-16,962526,949,669,828,018,71,9,6,2,5,2,6
2019-05-02,061324,043,476,699,374,25,0,6,1,3,2,4
2019-04-16,570331,930,512,966,968,23,5,7,0,3,3,1
2019-04-01,109767,888,959,403,975,52,1,0,9,7,6,7
2019-03-16,724628,883,148,877,154,64,7,2,4,6,2,8
2019-03-01,345650,999,137,830,837,65,3,4,5,6,5,0
2019-02-16,074824,881,910,879,612,56,0,7,4,8,2,4
2019-02-01,967134,643,779,948,197,04,9,6,7,1,3,4
2019-01-17,197079,206,412,660,127,65,1,9,7,0,7,9
2018-12-30,735867,913,031,701,884,02,7,3,5,8,6,7
2018-12-16,356564,480,948,369,297,62,3,5,6,5,6,4
2018-12-01,021840,045,307,988,561,67,0,2,1,8,4,0
2018-11-16,989903,930,471,140,876,16,9,8,9,9,0,3
2018-11-01,149840,384,576,509,046,58,1,4,9,8,4,0
2018-10-16,200515,392,186,212,192,93,2,0,0,5,1,5
2018-10-01,452643,726,594,810,561,99,4,5,2,6,4,3
2018-09-16,149760,539,323,297,155,79,1,4,9,7,6,0
2018-09-01,734510,512,464,202,097,26,7,3,4,5,1,0
2018-08-16,586117,670,340,815,591,10,5,8,6,1,1,7
2018-08-01,386602,903,832,549,726,78,3,8,6,6,0,2
2018-07-16,596324,530,403,362,138,27,5,9,6,3,2,4
2018-07-01,963623,901,429,210,217,83,9,6,3,6,2,3
2018-06-16,223131,432,507,132,868,46,2,2,3,1,3,1
2018-06-01,988117,553,310,248,650,95,9,8,8,1,1,7
2018-05-16,075629,357,130,506,047,20,0,7,5,6,2,9
2018-05-02,248038,980,527,225,602,85,2,4,8,0,3,8
2018-04-16,739229,273,654,076,526,60,7,3,9,2,2,9
2018-04-01,412073,787,131,924,638,85,4,1,2,0,7,3
2018-03-16,218559,720,064,205,489,82,2,1,8,5,5,9
2018-03-02,759415,318,870,723,589,29,7,5,9,4,1,5
2018-02-16,309915,007,388,230,748,39,3,0,9,9,1,5
2018-02-01,026853,106,947,181,519,31,0,2,6,8,5,3
2018-01-17,203823,624,799,236,397,50,2,0,3,8,2,3
2017-12-30,911234,495,373,953,504,98,9,1,1,2,3,4
2017-12-16,955596,616,836,290,938,89,9,5,5,5,9,6
2017-12-01,451005,626,303,601,257,33,4,5,1,0,0,5
2017-11-16,292391,961,831,477,628,98,2,9,2,3,9,1
2017-11-01,533726,165,425,485,036,85,5,3,3,7,2,6
2017-10-16,413494,180,971,287,128,86,4,1,3,4,9,4
2017-10-01,880714,611,726,462,952,52,8,8,0,7,1,4
2017-09-16,170143,172,647,340,388,71,1,7,0,1,4,3
2017-09-01,143224,345,679,278,195,65,1,4,3,2,2,4
2017-08-16,715431,115,302,253,945,37,7,1,5,4,3,1
2017-08-01,756519,061,386,787,989,36,7,5,6,5,1,9
2017-07-16,820327,835,584,390,823,87,8,2,0,3,2,7
2017-07-01,112360,226,489,688,005,26,1,1,2,3,6,0
2017-06-16,943142,626,878,740,373,47,9,4,3,1,4,2
2017-06-01,053630,121,218,581,881,61,0,5,3,6,3,0
2017-05-16,454891,396,008,603,490,53,4,5,4,8,9,1
2017-05-02,008656,949,573,773,923,35,0,0,8,6,5,6
2017-04-16,816729,766,973,241,807,40,8,1,6,7,2,9
2017-04-01,392785,057,020,500,709,80,3,9,2,7,8,5
2017-03-16,273863,918,324,941,694,92,2,7,3,8,6,3
2017-03-01,978453,560,450,577,052,78,9,7,8,4,5,3
2017-02-16,229116,464,128,953,375,14,2,2,9,1,1,6
2017-02-01,054672,066,807,426,628,42,0,5,4,6,7,2
2017-01-17,145157,511,663,516,836,25,1,4,5,1,5,7
2016-12-30,377712,890,304,477,769,46,3,7,7,7,1,2
2016-12-16,435286,596,366,716,199,35,4,3,5,2,8,6
2016-12-01,086069,513,873,148,450,77,0,8,6,0,6,9
2016-11-16,858383,682,040,570,558,44,8,5,8,3,8,3
2016-11-01,785438,976,824,752,038,86,7,8,5,4,3,8
2016-10-16,571947,692,885,032,587,98,5,7,1,9,4,7
2016-10-01,887102,280,194,458,017,33,8,8,7,1,0,2
2016-09-16,240650,583,493,160,043,42,2,4,0,6,5,0
2016-09-01,638684,335,334,669,630,62,6,3,8,6,8,4
2016-08-16,254004,966,366,596,631,33,2,5,4,0,0,4
2016-08-01,272932,538,983,871,472,57,2,7,2,9,3,2
2016-07-16,449764,734,552,925,158,55,4,4,9,7,6,4
2016-07-01,082460,169,609,302,173,53,0,8,2,4,6,0
2016-06-16,073816,804,251,749,321,79,0,7,3,8,1,6
2016-06-01,511825,775,111,937,880,14,5,1,1,8,2,5
2016-05-16,141737,975,382,268,087,98,1,4,1,7,3,7
2016-05-02,399459,238,403,671,046,02,3,9,9,4,5,9
2016-04-16,221609,228,008,507,523,87,2,2,1,6,0,9
2016-04-01,066720,546,390,285,852,92,0,6,6,7,2,0
2016-03-16,134918,877,855,973,004,32,1,3,4,9,1,8
2016-03-01,439686,530,426,155,743,06,4,3,9,6,8,6
2016-02-16,356364,699,312,309,535,98,3,5,6,3,6,4
2016-02-01,927800,625,999,054,076,09,9,2,7,8,0,0
2016-01-17,304371,031,532,786,743,50,3,0,4,3,7,1
2015-12-30,008217,246,264,895,596,02,0,0,8,2,1,7
2015-12-17,930255,140,250,094,638,08,9,3,0,2,5,5
2015-12-01,915350,238,181,714,175,78,9,1,5,3,5,0
2015-11-16,795283,241,028,643,802,03,7,9,5,2,8,3
2015-11-01,361211,106,757,166,473,45,3,6,1,2,1,1
2015-10-16,968630,457,134,412,054,62,9,6,8,6,3,0
2015-10-01,594825,175,918,440,799,07,5,9,4,8,2,5
2015-09-16,743148,435,209,375,084,06,7,4,3,1,4,8
2015-09-01,021094,260,403,819,068,89,0,2,1,0,9,4
2015-08-16,033363,781,227,648,624,40,0,3,3,3,6,3
2015-08-01,518677,333,598,889,648,53,5,1,8,6,7,7
2015-07-16,121507,761,461,294,830,49,1,2,1,5,0,7
2015-07-01,759049,565,814,567,081,26,7,5,9,0,4,9
2015-06-16,644742,429,253,532,386,52,6,4,4,7,4,2
2015-06-02,388881,314,700,969,876,65,3,8,8,8,1,1
2015-05-16,011421,799,484,928,851,38,0,1,1,4,2,1
2015-05-02,543466,818,163,195,366,30,5,4,3,4,6,6
2015-04-16,506260,101,164,970,495,38,5,0,6,2,6,0
2015-04-01,605704,558,962,861,557,70,5,7,0,4,4,4
2015-03-16,048151,339,622,575,623,92,0,4,8,1,5,1
2015-03-01,240237,498,031,008,857,34,2,4,0,2,3,7
2015-02-16,001864,843,103,392,825,90,0,0,1,8,6,4
